Image;Jaccard Index Axial;Jaccard Index Coronal;Jaccard Index Sagittal;Panoptic Quality Axial;Panoptic Quality Coronal;Panoptic Quality Sagittal;Dice Coefficient Axial;Dice Coefficient Coronal;Dice Coefficient Sagittal
BraTS20_Training_167;0.7314985990524292;0.0;0.0;0.7483925780376006;0.0;0.0;0.6456741057780495;0.0;0.0
BraTS20_Training_168;0.8274097442626953;0.5183373093605042;0.0;0.7484949083053796;0.7474384131694689;0.0;0.8051770269429407;0.19502766113443978;0.0
BraTS20_Training_169;0.8890585899353027;0.8068550825119019;0.8555046319961548;0.7477651844806198;0.747754118804218;0.7478964098010844;0.8793603051755126;0.7700514948319935;0.8405535499398316
BraTS20_Training_170;0.8848501443862915;0.8490095138549805;0.8117386102676392;0.7480974360552315;0.7483511383693792;0.7484314569692182;0.8730045026606631;0.828432664432815;0.7770161441360453
BraTS20_Training_171;0.6775790452957153;0.6629407405853271;0.6186896562576294;0.7480941516542916;0.74756721183432;0.7473539078825868;0.5536018515542126;0.5368178532706903;0.44634529098424064
BraTS20_Training_172;0.8855167627334595;0.8627723455429077;0.8067249059677124;0.747545609238766;0.7476521085494269;0.7476332712295202;0.87268593699253;0.8446800287118326;0.7698312393130622
BraTS20_Training_173;0.7329263091087341;0.755514919757843;0.6564292907714844;0.7474333721949747;0.746949015985451;0.7463658821715573;0.6488060570762959;0.6931954341931008;0.5113467320778604
BraTS20_Training_174;0.8389813899993896;0.7379868030548096;0.7256830930709839;0.7464295963768734;0.746291108247642;0.7461398647964161;0.8125550014667058;0.6684058415816261;0.6396008683398713
BraTS20_Training_177;0.0;0.4959042966365814;0.49546873569488525;0.0;0.7459044521007825;0.7456293817168913;0.0;0.0;0.0
BraTS20_Training_178;0.8349425196647644;0.8690040111541748;0.7496449947357178;0.7458435766148944;0.7461999069605076;0.7461262037475767;0.8114497965921821;0.8583610648918469;0.6983261455080223
BraTS20_Training_179;0.7121709585189819;0.6633706092834473;0.0;0.7458789753047871;0.7453161681724354;0.0;0.6144952958060915;0.5260297929483776;0.0
BraTS20_Training_180;0.7307871580123901;0.7597060799598694;0.7734277248382568;0.745163404500419;0.7451622808118856;0.7451192452201267;0.6644235676615693;0.709959508012851;0.7404724862398515
BraTS20_Training_181;0.7161474823951721;0.0;0.0;0.7449156531155845;0.0;0.0;0.6192841557959241;0.0;0.0
BraTS20_Training_182;0.7974514961242676;0.48598241806030273;0.749614953994751;0.7449368007944233;0.7443459854938437;0.7443161001574276;0.750454427421449;0.0;0.6752580467843401
BraTS20_Training_183;0.8658390641212463;0.6840031743049622;0.6466088891029358;0.7444673097276113;0.7441791773440081;0.7435266040857189;0.8506624271330153;0.589847296739579;0.5018095238095238
BraTS20_Training_184;0.881134033203125;0.8616767525672913;0.7543842196464539;0.743694177023739;0.7440429598178304;0.7440727603026396;0.868735303610125;0.8483970378547445;0.6978330117995424
BraTS20_Training_185;0.0;0.6274551153182983;0.5883932709693909;0.0;0.743734631969012;0.743526700537704;0.0;0.4555300472653612;0.38126950220937783
BraTS20_Training_186;0.8253034353256226;0.8528815507888794;0.7092883586883545;0.7435696831761374;0.7437996748982845;0.7437237173117865;0.7987979554007751;0.8400652505407993;0.6291972426061819
BraTS20_Training_187;0.871466338634491;0.7384145855903625;0.7936034202575684;0.7438802437421921;0.7434574226752231;0.74355120190828;0.859499748017294;0.6780494863261467;0.7589300080450523
BraTS20_Training_188;0.0;0.0;0.7477489709854126;0.0;0.0;0.7435184823439995;0.0;0.0;0.6706560922855083
BraTS20_Training_189;0.8119138479232788;0.8557264804840088;0.9141980409622192;0.7435918096660075;0.7437879822085495;0.7441383704272875;0.7757399673143273;0.8380133906265614;0.9100645944901452
BraTS20_Training_190;0.7581404447555542;0.7524824142456055;0.0;0.7441193143254087;0.7441260626270749;0.0;0.6873802582257392;0.6792631721522416;0.0
BraTS20_Training_191;0.0;0.751154899597168;0.5538222789764404;0.0;0.743923144751252;0.7430095643271937;0.0;0.7001612578109252;0.33535885777418944
BraTS20_Training_192;0.920834481716156;0.8789360523223877;0.9011421203613281;0.7432841803839747;0.7435838537968846;0.7439405224025577;0.9162682573797096;0.8687912718920471;0.8959305131092167
BraTS20_Training_193;0.8934712409973145;0.0;0.7085312008857727;0.7442222761593743;0.0;0.7439756624036213;0.8855109765329297;0.0;0.6181423413870585
BraTS20_Training_194;0.9227757453918457;0.896241307258606;0.0;0.7444053162637689;0.7447696814622324;0.0;0.9206237799662229;0.8909915959546629;0.0
BraTS20_Training_195;0.8763149976730347;0.889491081237793;0.6046634912490845;0.744950202799494;0.7451536939081647;0.7446511758411144;0.8634852710808849;0.880188421627526;0.3892902360914575
BraTS20_Training_196;0.8480340242385864;0.8443118333816528;0.6002144813537598;0.744803248500119;0.7449773394681014;0.7445833981582337;0.8287087087087087;0.824974465076081;0.38581587061858913
BraTS20_Training_197;0.769066333770752;0.7427451610565186;0.6643906831741333;0.7444897719838084;0.7443022531802999;0.7438743926325065;0.7164399092970521;0.6793178211403921;0.5482148505088467
BraTS20_Training_198;0.8863526582717896;0.0;0.0;0.7441040322288188;0.0;0.0;0.8771427737055748;0.0;0.0
BraTS20_Training_199;0.8659136295318604;0.7091503143310547;0.7007041573524475;0.7443500778669692;0.7441923498119878;0.743899752026687;0.8497721214205864;0.6144258088167904;0.6126601941747573
BraTS20_Training_200;0.8324508666992188;0.7910990715026855;0.8363721370697021;0.7439525311439665;0.7439783521146099;0.744037406439733;0.800601956358164;0.7402437872058962;0.807701642261953
BraTS20_Training_201;0.8852349519729614;0.8265640735626221;0.8351494073867798;0.7442744830163474;0.7444567735895031;0.7442236911328749;0.8745218056618209;0.7999762336234811;0.8175685221814072
BraTS20_Training_202;0.9119745492935181;0.8683145046234131;0.8264236450195312;0.7444800570582504;0.7447317584575517;0.7448954835129125;0.9065427400468384;0.8562343746207433;0.8038581207218419
BraTS20_Training_203;0.9017281532287598;0.8453328609466553;0.8283352851867676;0.7450854346355168;0.7452108806066977;0.7452678172602143;0.8928894140543546;0.8217144060657119;0.7993701613961423
BraTS20_Training_204;0.791942834854126;0.6958886384963989;0.6827629208564758;0.7452891826832175;0.7448430535494682;0.7446125057157214;0.7440956475646386;0.5808315181361872;0.5528246318607765
BraTS20_Training_205;0.8835079669952393;0.8904718160629272;0.909866213798523;0.7446990762629839;0.7448459535545761;0.7450179426390572;0.8693795863909273;0.8786434463794683;0.9020316987554515
BraTS20_Training_206;0.8387196660041809;0.8582902550697327;0.8426432609558105;0.7450880222437728;0.7451841580041001;0.7452704169075337;0.8099370022584096;0.8398576512455516;0.8156158754190548
BraTS20_Training_207;0.5890944004058838;0.0;0.6299729943275452;0.7448937288323163;0.0;0.7445181820333564;0.3443496339931563;0.0;0.4630867287693856
BraTS20_Training_208;0.6844829320907593;0.0;0.6481204032897949;0.7443806843549783;0.0;0.7438833816432315;0.5676567656765676;0.0;0.5158788704155555
BraTS20_Training_209;0.9249861240386963;0.9147737622261047;0.9398499131202698;0.7442421012675693;0.7445773248171484;0.7449647719151045;0.9221906829186842;0.910770236765387;0.9394564426110168
BraTS20_Training_210;0.8938519954681396;0.8568724393844604;0.821498692035675;0.7452631140007173;0.7454923586130127;0.7455464259555233;0.8869194074817977;0.8425751458052938;0.799761474647912
BraTS20_Training_211;0.925458550453186;0.0;0.8525660037994385;0.7457740926865658;0.0;0.7459259948493954;0.9215532968464947;0.0;0.8346461409446225
BraTS20_Training_212;0.0;0.0;0.5207962989807129;0.0;0.0;0.7452220109316811;0.0;0.0;0.23511516013293432
BraTS20_Training_213;0.8161391019821167;0.8024733066558838;0.7756620049476624;0.7452440242165952;0.7452483334936812;0.7451680169858247;0.7811889617869484;0.7652449659108926;0.7230695372798109
BraTS20_Training_214;0.7394656538963318;0.7878531217575073;0.7765623331069946;0.745145437916704;0.7452166404413371;0.7451750699600168;0.6645754616097527;0.7444783730099908;0.7265177728845549
BraTS20_Training_215;0.8772356510162354;0.7082974910736084;0.0;0.7453610905606722;0.7447588285159157;0.0;0.8648589626933576;0.6213838719016547;0.0
BraTS20_Training_216;0.7273479700088501;0.7991254329681396;0.8467378616333008;0.7446583727418438;0.7446924071638212;0.7448528295612478;0.6426845840253661;0.760030032970979;0.829774522603058
BraTS20_Training_217;0.7460935711860657;0.8847752213478088;0.7616366147994995;0.7447565573557631;0.7449118554634975;0.7448937857043182;0.6661849710982659;0.8734343522816852;0.6949429037520392
BraTS20_Training_218;0.7726778388023376;0.6251317858695984;0.598667562007904;0.7447263898067225;0.744292444565539;0.7436619938629949;0.7259269319570827;0.4571146662907886;0.4117736249573557
BraTS20_Training_219;0.7103901505470276;0.8533007502555847;0.8254011869430542;0.7435750329091859;0.743742059758763;0.7438527458632527;0.6036972068546754;0.8337772830278695;0.7966894566390788
BraTS20_Training_220;0.6742666363716125;0.739145040512085;0.5843162536621094;0.7437667070683232;0.7435877959250826;0.7431235747867742;0.5365878259115437;0.6650823403400723;0.3432203389830508
BraTS20_Training_221;0.6478610038757324;0.6217755675315857;0.0;0.7427874677930251;0.7423066737167244;0.0;0.5069739235900546;0.4559511570820133;0.0
