Image;Perspective;Segmented;Similarity;Area Original Mask;Area Mask
BraTS20_Training_057;Coronal;True;0.4493950195224269;9868.0;9906.5
BraTS20_Training_057;Axial;True;0.13250064242234888;5859.5;3395.5
BraTS20_Training_057;Sagittal;True;0.10144718941130337;11366.5;8678.0
BraTS20_Training_058;Coronal;False;0.0;0.0;0.0
BraTS20_Training_058;Axial;False;0.0;0.0;0.0
BraTS20_Training_058;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_059;Coronal;True;0.16909221869301097;2817.0;1841.5
BraTS20_Training_059;Axial;True;0.05947821405527903;2161.5;1082.0
BraTS20_Training_059;Sagittal;True;0.0494757387914056;3422.5;1733.5
BraTS20_Training_060;Coronal;False;0.0;0.0;0.0
BraTS20_Training_060;Axial;True;0.17280107167968697;14520.0;3447.5
BraTS20_Training_060;Sagittal;True;0.22264899575276226;21145.0;13725.5
BraTS20_Training_061;Coronal;True;1.524787791400792;11186.0;16874.0
BraTS20_Training_061;Axial;True;0.020741925275676143;6633.0;5202.0
BraTS20_Training_061;Sagittal;True;0.3002642926354108;11604.0;6287.5
BraTS20_Training_062;Coronal;True;0.012763039148829536;24752.0;20575.5
BraTS20_Training_062;Axial;True;0.03235807984998662;17852.5;14748.0
BraTS20_Training_062;Sagittal;True;0.031081762037289684;23873.5;19156.0
BraTS20_Training_063;Coronal;False;0.0;0.0;0.0
BraTS20_Training_063;Axial;True;1.6682137204759888;2400.5;735.0
BraTS20_Training_063;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_064;Coronal;False;0.0;0.0;0.0
BraTS20_Training_064;Axial;True;1.5944629369769834;26528.0;7950.5
BraTS20_Training_064;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_065;Coronal;True;0.032836094064701754;4620.5;4174.0
BraTS20_Training_065;Axial;True;0.08738225510774075;3472.0;3254.0
BraTS20_Training_065;Sagittal;True;0.3291271654748593;4016.0;2562.5
BraTS20_Training_066;Coronal;True;1.5385809616480006;14304.5;4025.0
BraTS20_Training_066;Axial;True;0.10279898441544169;10882.5;5940.0
BraTS20_Training_066;Sagittal;True;1.3883500897423329;15339.5;2676.0
BraTS20_Training_067;Coronal;True;0.11164671080999991;31595.5;12756.0
BraTS20_Training_067;Axial;True;0.13018538147751957;16200.0;7594.5
BraTS20_Training_067;Sagittal;True;0.6816625656299043;27848.5;12281.5
BraTS20_Training_068;Coronal;True;0.40935683442628434;21228.5;10259.5
BraTS20_Training_068;Axial;True;0.909013376798693;14655.0;13060.0
BraTS20_Training_068;Sagittal;True;0.4535355071850392;21530.0;8960.0
BraTS20_Training_069;Coronal;True;0.25110231918654335;20514.0;7999.5
BraTS20_Training_069;Axial;True;0.6518235862554727;16758.0;11493.0
BraTS20_Training_069;Sagittal;True;0.21707160985298593;21874.0;10176.0
BraTS20_Training_070;Coronal;False;0.0;0.0;0.0
BraTS20_Training_070;Axial;True;0.09476120972207808;16396.5;1771.0
BraTS20_Training_070;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_071;Coronal;True;0.2226899271408421;13909.5;6096.0
BraTS20_Training_071;Axial;True;0.31607387415287247;10672.5;2850.0
BraTS20_Training_071;Sagittal;True;0.5507927815383818;20564.5;4088.5
BraTS20_Training_072;Coronal;True;0.2904758011928069;32008.0;12901.0
BraTS20_Training_072;Axial;True;0.1452616466925919;17491.5;8858.0
BraTS20_Training_072;Sagittal;True;0.1707362974505367;29058.0;17441.0
BraTS20_Training_073;Coronal;True;1.8346438757871575;13091.0;3291.5
BraTS20_Training_073;Axial;True;0.20577458770721813;10346.5;8083.5
BraTS20_Training_073;Sagittal;True;1.3458975978250436;12849.5;5059.5
BraTS20_Training_074;Coronal;False;0.0;0.0;0.0
BraTS20_Training_074;Axial;False;0.0;0.0;0.0
BraTS20_Training_074;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_075;Coronal;False;0.0;0.0;0.0
BraTS20_Training_075;Axial;True;3.206237946057346;30843.0;4876.5
BraTS20_Training_075;Sagittal;True;2.6472788169044823;44179.5;4328.0
BraTS20_Training_076;Coronal;False;0.0;0.0;0.0
BraTS20_Training_076;Axial;False;0.0;0.0;0.0
BraTS20_Training_076;Sagittal;True;0.31408406421457824;17034.0;5025.0
BraTS20_Training_077;Coronal;True;0.03312025137508218;10366.5;8998.0
BraTS20_Training_077;Axial;True;0.01741279030687376;5777.0;4822.0
BraTS20_Training_077;Sagittal;True;0.03611285320476462;9457.0;7389.0
BraTS20_Training_078;Coronal;True;0.0143874095549191;6679.5;4902.5
BraTS20_Training_078;Axial;True;0.2831113596937812;5144.5;3241.5
BraTS20_Training_078;Sagittal;True;0.09354925148989421;8734.5;5818.5
BraTS20_Training_079;Coronal;False;0.0;0.0;0.0
BraTS20_Training_079;Axial;False;0.0;0.0;0.0
BraTS20_Training_079;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_080;Coronal;True;0.42724168753720726;7551.0;6179.5
BraTS20_Training_080;Axial;True;0.10075737992407247;7662.5;5194.5
BraTS20_Training_080;Sagittal;True;1.0694100545302196;9807.5;3370.0
BraTS20_Training_081;Coronal;True;1.3610947922494145;13632.0;4712.5
BraTS20_Training_081;Axial;True;0.6409081685732865;8426.0;3320.5
BraTS20_Training_081;Sagittal;True;2.7305798416285914;12964.0;4282.0
BraTS20_Training_082;Coronal;True;0.646514968120806;6566.0;6513.0
BraTS20_Training_082;Axial;True;0.16412540408785795;6453.0;3485.5
BraTS20_Training_082;Sagittal;True;2.013415206608912;7062.0;6239.5
BraTS20_Training_083;Coronal;True;0.052623769467736115;8129.0;5076.0
BraTS20_Training_083;Axial;True;2.4586766938495446;7193.5;9286.0
BraTS20_Training_083;Sagittal;True;0.23092901736772734;9661.5;6882.0
BraTS20_Training_084;Coronal;True;0.16490102192586842;14465.0;9821.5
BraTS20_Training_084;Axial;True;0.1649567594254417;13374.5;9332.0
BraTS20_Training_084;Sagittal;True;0.11558983323921129;18539.5;13158.5
BraTS20_Training_085;Coronal;True;0.3641216951519237;8062.0;4598.5
BraTS20_Training_085;Axial;True;0.12216863453594762;4209.5;3288.5
BraTS20_Training_085;Sagittal;True;0.12614012400111807;8839.0;4974.0
BraTS20_Training_086;Coronal;False;0.0;0.0;0.0
BraTS20_Training_086;Axial;True;0.16183142294350572;1071.5;861.5
BraTS20_Training_086;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_087;Coronal;False;0.0;0.0;0.0
BraTS20_Training_087;Axial;False;0.0;0.0;0.0
BraTS20_Training_087;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_088;Coronal;True;0.36400921710329065;13286.5;6157.5
BraTS20_Training_088;Axial;True;0.051678662595688485;7033.5;4471.0
BraTS20_Training_088;Sagittal;True;0.12134764447705038;11702.0;6638.0
BraTS20_Training_089;Coronal;True;0.23816238427639078;13958.5;14480.0
BraTS20_Training_089;Axial;True;0.03312364844757093;10409.5;5246.0
BraTS20_Training_089;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_090;Coronal;True;0.21500509162656975;16882.5;14460.5
BraTS20_Training_090;Axial;True;0.06888897132490412;9830.0;8309.0
BraTS20_Training_090;Sagittal;True;0.10176557507985642;13008.5;9773.0
