X;Y;Mean;Standard Deviation
296;236;48,51684727690861;44,872142446267205
296;241;48,53858742013544;44,87982570832705
296;242;48,54706998276972;44,88528539162786
296;243;48,55250656875881;44,88747482097267
296;244;48,553255158495425;44,887141047288154
296;245;48,553222579803425;44,88216505407411
296;246;48,56870587416965;44,89301499774918
296;247;48,56976440928454;44,891401762383595
296;248;48,581192421345385;44,89797756624868
296;249;48,586917609439894;44,89698900097929
296;250;48,59225409622435;44,89746346450401
296;251;48,603143998610385;44,90312851778831
296;252;48,60425894082295;44,89513009866586
296;253;48,61951143288713;44,903494428423514
296;254;48,632639600076374;44,9084985381629
296;255;48,64581236333345;44,911079637235844
296;256;48,65267029878197;44,909712888488045
296;257;48,66859204523772;44,91704458985786
296;258;48,680482094858235;44,91931471561019
296;480;49,940269543698484;45,580194234277826
297;224;48,49784606798402;44,861798735901004
297;234;48,52673005258942;44,876369150768525
297;259;48,77326609129666;44,93039391541944
297;260;48,795425402876454;44,934698531084784
297;261;48,813804812973196;44,936883681070306
297;481;49,98672794969091;45,61910362377755
297;482;49,9793021143193;45,612557928145364
298;224;48,51098795768634;44,870312130864335
298;233;48,549779858343626;44,88723558656224
298;262;48,90508838449419;44,95470608711466
298;483;50,02468673689464;45,65463503338449
298;484;50,015326763023296;45,64254612809402
299;225;48,53479827967474;44,8808541128494
299;232;48,56501626058677;44,89049265672087
299;263;49,00914111597791;44,95444259618877
299;485;50,062460984179644;45,680202737511785
299;486;50,0553167965476;45,67865687348593
300;225;48,55667287183145;44,88921183579666
300;231;48,58542307491789;44,89692297079354
300;264;49,16384327582623;44,98008042891933
300;487;50,10167585800718;45,714607537069945
300;488;50,088334493281224;45,703850570792284
300;489;50,08076573120908;45,69904946149804
301;225;48,577018687527165;44,89460040933694
301;230;48,612080793344795;44,905438822363564
301;265;49,28931701813764;44,94665305298255
301;490;50,12823626040067;45,74075857193321
301;491;50,11802406541222;45,731594158790756
302;218;48,56546387270672;44,891546905719395
302;219;48,57127208234803;44,89375408593113
302;220;48,5740264255911;44,8940544670014
302;225;48,60557900404704;44,903159576061256
302;229;48,633556650930295;44,906621984155336
302;265;49,44976649710942;45,01626373449786
302;492;50,15802261804799;45,7694642580232
302;493;50,149767774205074;45,760576247025405
303;217;48,571433538472235;44,8830488466787
303;221;48,60703430308293;44,902377469432736
303;225;48,637808941960564;44,90886661096209
303;228;48,66578198723286;44,916423997219106
303;266;49,603098429920195;45,036129967109815
303;494;50,18860942778999;45,80262818919749
303;495;50,17865441675902;45,79094911041136
304;216;48,60493998714631;44,90332549737342
304;221;48,642079869487496;44,91093824750804
304;225;48,675257553158275;44,914946450203
304;226;48,69254512979694;44,92204580533629
304;227;48,668193410711496;44,8821607705787
304;266;49,71038393959953;45,073029301215456
304;496;50,219386112402965;45,83277576120866
305;216;48,63444014371756;44,909732081305606
305;221;48,67478363425083;44,91432024379805
305;266;49,802465052312726;45,09987438430573
305;497;50,25412623966202;45,870287206773426
306;216;48,668331858944335;44,9171614174582
306;222;48,73896689200901;44,92631051745141
306;266;49,89740239376992;45,12679412018136
306;497;50,29867942446559;45,9256204507249
307;217;48,72443442836092;44,92581224112001
307;222;48,791180038121645;44,93499386585554
307;266;49,98960894049549;45,15879038022224
307;497;50,33461283205683;45,97157698832305
308;217;48,77326609129666;44,93039391541944
308;223;48,851548427324374;44,94328840291145
308;266;50,08341043590594;45,16770061057196
308;498;50,363305090830764;46,00990736639911
309;217;48,82315541465274;44,93977528854004
309;224;48,902079977832045;44,93542631830285
309;225;48,93412738258054;44,95931723919749
309;226;48,95130353495136;44,9608915789682
309;266;50,21616239256516;45,217744917549716
309;499;50,389371945961486;46,04578130364489
310;217;48,86466217503507;44,941675579512335
310;227;49,03437949002026;44,972085891105124
310;228;49,05396935330275;44,96797401674205
310;267;50,37508307972155;45,26374425456063
310;499;50,41402373247033;46,09244183379226
311;217;48,902079977832045;44,93542631830285
311;229;49,1526148942436;44,97361725245839
311;266;50,43314085739283;45,27748413091355
311;270;50,634154034872516;45,34148423329906
311;499;50,422507332697535;46,13311765352474
312;217;48,971612545869974;44,965773070706554
