Image;Perspective;Segmented;Similarity;Area Original Mask;Area Mask;Difference Between Masks;Percentage Over Original Mask Total Area
BraTS20_Training_067;Axial;True;0,1200743037283267;16200.0;8036.0;8282;50,130137400883726
BraTS20_Training_067;Sagittal;True;0,08012090081164164;27848.5;18307.0;9700;34,314419131173054
BraTS20_Training_068;Coronal;True;0,11765052551321042;21228.5;12637.0;9171;42,58450965824665
BraTS20_Training_068;Axial;True;0,8665454289727321;14655.0;13780.5;2759;18,508083450727845
BraTS20_Training_068;Sagittal;True;0,10967420935890879;21530.0;13511.5;8038;36,81751557347013
BraTS20_Training_069;Coronal;True;0,29137933917531744;20514.0;8795.5;11936;56,97646665711967
BraTS20_Training_069;Axial;True;0,25422284756682517;16758.0;13983.0;4711;27,651581851264893
BraTS20_Training_069;Sagittal;True;0,16446670382913278;21874.0;13000.0;9057;40,527116520494005
BraTS20_Training_070;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_070;Axial;True;0,10689250079543197;16396.5;2120.5;14669;87,69653853051952
BraTS20_Training_070;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_071;Coronal;True;0,3188252441322876;13909.5;8293.0;6416;44,76383171701667
BraTS20_Training_071;Axial;True;0,1417663640785896;10672.5;3568.5;7198;65,84941908334095
BraTS20_Training_071;Sagittal;True;0,21412273909972426;20564.5;5025.0;15834;75,23519908771263
BraTS20_Training_072;Coronal;True;0,40645483974291385;32008.0;15319.0;17058;52,291468685815886
BraTS20_Training_072;Axial;True;0,15711911582416233;17491.5;10448.0;7069;39,87702374908332
BraTS20_Training_072;Sagittal;True;0,043090940104426545;29058.0;19815.5;9322;31,687004996770796
BraTS20_Training_073;Coronal;True;0,20751539932902355;13091.0;7439.0;5718;42,950499511755424
BraTS20_Training_073;Axial;True;0,15908857834358409;10346.5;8247.5;2376;22,517058377558758
BraTS20_Training_073;Sagittal;True;0,04458364888026939;12849.5;8972.0;4067;31,114681355672865
BraTS20_Training_074;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_074;Axial;False;0;0.0;0.0;0;0
BraTS20_Training_074;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_075;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_075;Axial;True;0,13255641064084675;30843.0;10778.0;20181;64,76156857711315
BraTS20_Training_075;Sagittal;True;1,5236201389545214;44179.5;5921.5;38535;86,39553393269512
BraTS20_Training_076;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_076;Axial;False;0;0.0;0.0;0;0
BraTS20_Training_076;Sagittal;True;0,203644872124145;17034.0;7669.5;9764;55,963776007336506
BraTS20_Training_077;Coronal;True;0,02152459582084343;10366.5;9641.5;1409;13,339013537820696
BraTS20_Training_077;Axial;True;0,032199253819522405;5777.0;5046.0;903;15,276602943664356
BraTS20_Training_077;Sagittal;True;0,03419383268461504;9457.0;7483.5;2050;21,27880423500104
BraTS20_Training_078;Coronal;True;0,04496754442348236;6679.5;5226.0;1836;26,79118634174814
BraTS20_Training_078;Axial;True;0,30540286304444697;5144.5;3403.0;1802;33,96795475966069
BraTS20_Training_078;Sagittal;True;0,0656703398935273;8734.5;6364.5;2456;27,355758520828694
BraTS20_Training_079;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_079;Axial;False;0;0.0;0.0;0;0
BraTS20_Training_079;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_080;Coronal;True;0,3828562997018471;7551.0;6657.0;2159;27,966321243523318
BraTS20_Training_080;Axial;True;0,06824046406031731;7662.5;5367.5;2337;29,8391215526047
BraTS20_Training_080;Sagittal;True;0,2465557226602651;9807.5;4777.0;5066;50,4883396452063
BraTS20_Training_081;Coronal;True;0,8430474673134712;13632.0;6327.0;7726;55,75521397127805
BraTS20_Training_081;Axial;True;0,5860414883671561;8426.0;3656.0;5078;59,122132960763764
BraTS20_Training_081;Sagittal;True;0,09854045112369325;12964.0;9613.5;3421;25,900969109630527
BraTS20_Training_082;Coronal;True;0,5265466762109846;6566.0;7524.0;1355;19,988198849387814
BraTS20_Training_082;Axial;True;0,14546241763621476;6453.0;3781.0;2905;43,20987654320987
BraTS20_Training_082;Sagittal;True;1,2597650624921233;7062.0;7588.5;2730;37,62403528114664
BraTS20_Training_083;Coronal;True;0,15159593470000854;8129.0;5792.5;2934;35,13351694407855
BraTS20_Training_083;Axial;True;1,9244860890582265;7193.5;10815.0;789;10,744927141495301
BraTS20_Training_083;Sagittal;True;0,08999845766546313;9661.5;7433.5;2250;22,879804758999388
BraTS20_Training_084;Coronal;True;0,09257692124746003;14465.0;11343.0;3530;24,0217761143246
BraTS20_Training_084;Axial;True;0,07168105918837087;13374.5;10506.5;2900;21,326665686130315
BraTS20_Training_084;Sagittal;True;0,0699718178844401;18539.5;13765.5;5218;27,697860820638038
BraTS20_Training_085;Coronal;True;0,44702550981058414;8062.0;5655.5;3111;37,617896009673515
BraTS20_Training_085;Axial;True;0,11935188085837961;4209.5;3521.0;774;17,891816920943135
BraTS20_Training_085;Sagittal;True;0,14175694421986196;8839.0;5145.0;3808;41,966056865770334
BraTS20_Training_086;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_086;Axial;True;0,16300998557802554;1071.5;883.5;1134;100,0
BraTS20_Training_086;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_087;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_087;Axial;False;0;0.0;0.0;0;0
BraTS20_Training_087;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_088;Coronal;True;0,5381267160554732;13286.5;7878.0;5966;44,06854779140198
BraTS20_Training_088;Axial;True;0,0542687056125587;7033.5;5179.0;2208;30,71786310517529
BraTS20_Training_088;Sagittal;True;0,07150338394260891;11702.0;7741.0;4207;35,12859051436206
BraTS20_Training_089;Coronal;True;0,21324464545976127;13958.5;15594.0;1805;12,689820022497189
BraTS20_Training_089;Axial;True;0,03906547581320788;10409.5;5741.5;4915;46,02490869931641
BraTS20_Training_089;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_090;Coronal;True;0,19942315432795868;16882.5;15460.5;3356;19,56509065469597
BraTS20_Training_090;Axial;True;0,07893715623281955;9830.0;8551.0;1835;18,27507220396375
BraTS20_Training_090;Sagittal;True;0,10332431176995016;13008.5;9859.5;3270;24,61607949412827
BraTS20_Training_091;Coronal;True;0,18235432717706335;18519.0;11295.5;7346;38,99357715377674
BraTS20_Training_091;Axial;True;0,004493131584585697;14216.0;8347.0;5969;41,19108412117866
BraTS20_Training_091;Sagittal;True;0,0015875820937676366;17173.0;10831.0;6421;36,74391988555079
BraTS20_Training_092;Coronal;True;0,48215412204790487;30919.0;15812.0;16106;51,18540647047607
BraTS20_Training_092;Axial;False;0;0.0;0.0;0;0
BraTS20_Training_092;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_093;Coronal;True;0,023311076805603625;17342.5;12586.0;5101;28,86977191691663
BraTS20_Training_093;Axial;True;0,07299514745179747;13051.0;8975.0;4079;30,780259583459102
BraTS20_Training_093;Sagittal;True;0,06564580979505957;21517.0;17672.5;4266;19,5446007238741
BraTS20_Training_094;Coronal;True;0,07391067290117714;2255.5;1573.5;705;30,03834682573498
BraTS20_Training_094;Axial;True;0,025791889693024622;1574.0;1092.5;495;30,127814972611077
BraTS20_Training_094;Sagittal;True;0,07798280933770677;1974.0;1602.0;406;19,804878048780488
BraTS20_Training_095;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_095;Axial;True;0,5030805149080038;19536.0;2934.5;16908;84,7603769801484
BraTS20_Training_095;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_096;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_096;Axial;False;0;0.0;0.0;0;0
BraTS20_Training_096;Sagittal;True;0,1345815230323194;22749.0;14149.0;8688;37,64950598023921
BraTS20_Training_097;Coronal;True;0,22173942202362465;21471.5;15600.5;6797;31,239084474675984
BraTS20_Training_097;Axial;False;0;0.0;0.0;0;0
BraTS20_Training_097;Sagittal;True;0,01997455918344268;42208.5;34095.5;8127;19,072092368346944
BraTS20_Training_098;Coronal;True;0,11254292737436813;18773.0;15703.0;3821;20,065115790579217
BraTS20_Training_098;Axial;True;0,22932351936977724;14788.0;5639.0;9213;61,407718456308736
BraTS20_Training_098;Sagittal;True;0,018396208480239207;20813.0;14022.5;6812;32,318056741626336
BraTS20_Training_099;Coronal;True;0,9716525525933305;1372.0;1960.0;64;4,450625869262865
BraTS20_Training_099;Axial;True;0,3980573476428212;2182.5;1225.0;1000;43,802014892685065
BraTS20_Training_099;Sagittal;True;0,487181994089093;3601.0;2938.5;1019;27,43672590199246
BraTS20_Training_100;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_100;Axial;False;0;0.0;0.0;0;0
BraTS20_Training_100;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_101;Coronal;True;0,21729406561092005;14645.5;6366.0;8516;56,675096499401036
BraTS20_Training_101;Axial;True;0,08102305323513687;12134.0;8355.5;4105;33,06217783505155
BraTS20_Training_101;Sagittal;True;0,1635310408892837;19918.0;12463.0;8403;41,20531554945324
BraTS20_Training_102;Coronal;True;52,78866955051699;8353.5;5263.5;5524;64,82046467965267
BraTS20_Training_102;Axial;True;0,1369477079037073;8846.0;4421.0;4698;52,03234023701406
BraTS20_Training_102;Sagittal;True;0,19006003523334852;14136.0;4122.5;9997;69,63638896628588
BraTS20_Training_103;Coronal;True;0,05439217651330813;23188.0;15733.0;7472;31,84859980392993
BraTS20_Training_103;Axial;True;0,13505312718097384;16565.0;10519.5;6092;36,255430577873
BraTS20_Training_103;Sagittal;True;0,0693834098738505;29649.5;18555.0;11124;37,055296469020654
BraTS20_Training_104;Coronal;True;0,2471079729496848;26027.5;20384.0;6452;24,427365312535493
BraTS20_Training_104;Axial;True;0,11460479267811069;20454.5;16513.0;4253;20,541924265842347
BraTS20_Training_104;Sagittal;True;0,2256562086092911;32948.5;20902.5;12229;36,577632877695684
